text,label
"river overflow trapped families request boats",flood
"flash flood covers road bridge closed rescue needed",flood
"heavy rain water entering homes volunteers needed",flood
"streets underwater after storm people moving to shelter",flood
"dam release warning villages near canal evacuate",flood
"rescue team using boats near flooded market",flood
"wildfire smoke visible evacuation order issued",fire
"forest fire spreading fast firefighters need support",fire
"homes threatened by flames near hillside",fire
"smoke inhalation reported after warehouse fire",fire
"dry winds push wildfire toward town",fire
"evacuation center opened for families near fire line",fire
"earthquake tremor cracked buildings downtown",earthquake
"aftershock damaged roads and power lines",earthquake
"people trapped after building collapse from quake",earthquake
"seismic shaking reported bridges need inspection",earthquake
"quake survivors need tents food and water",earthquake
"rescue dogs searching rubble after earthquake",earthquake
"hospital requests blood donors and medicine",medical
"clinic overwhelmed doctors need supplies",medical
"injured people need ambulance near shelter",medical
"field hospital treating dehydration and infection",medical
"urgent medicine delivery required for elderly patients",medical
"nurses request masks gloves and clean water",medical
"families need food blankets and temporary shelter",relief
"volunteers distributing meals at school shelter",relief
"donation center needs bottled water and batteries",relief
"children require warm clothes after evacuation",relief
"relief trucks delayed supplies running low",relief
"community kitchen serving displaced families",relief
